,rate,attraction,reviews,details,attraction_url,reviews_url,uuid
3388,5,3389. AFC Morocco Tours,Reviews not found,Details not found,/Attraction_Review-g293734-d28767178-Reviews-AFC_Morocco_Tours-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d28767178-Reviews-AFC_Morocco_Tours-Marrakech_Marrakech_Safi.html,3adddba2-94a8-4b13-b80b-f850eb73ae88
3389,5,3390. Sun Sky Camp,Reviews not found,Details not found,/Attraction_Review-g15276171-d28650812-Reviews-Sun_Sky_Camp-Agafay_Marrakech_Safi.html,/Attraction_Review-g15276171-d28650812-Reviews-Sun_Sky_Camp-Agafay_Marrakech_Safi.html,2c3ff5d3-00de-46c8-97b0-310cf1488aa9
3390,5,3391. niya voyage,Reviews not found,Details not found,/Attraction_Review-g293734-d28011245-Reviews-Niya_voyage-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d28011245-Reviews-Niya_voyage-Marrakech_Marrakech_Safi.html,d30e4251-4cae-4c98-8c4c-7b241ff0275c
3391,5,3392. marrakech,Reviews not found,Details not found,/Attraction_Review-g293734-d19229050-Reviews-Marrakech-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d19229050-Reviews-Marrakech-Marrakech_Marrakech_Safi.html,11607e0a-c7b3-454d-9a76-16c6a287caf3
3392,5,3393. Moroccoitrantravel,Reviews not found,Details not found,/Attraction_Review-g293734-d28044106-Reviews-Moroccoitrantravel-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d28044106-Reviews-Moroccoitrantravel-Marrakech_Marrakech_Safi.html,a2cc5d2c-a98b-47ce-823e-ec8e66f36531
3393,5,3394. Mext,Reviews not found,Details not found,/Attraction_Review-g293734-d28622669-Reviews-Mext-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d28622669-Reviews-Mext-Marrakech_Marrakech_Safi.html,2e26657b-4865-42c9-93c8-1ae00c40174b
3394,5,3395. Visitar Marruecos,Reviews not found,Details not found,/Attraction_Review-g293734-d27173171-Reviews-Visitar_Marruecos-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d27173171-Reviews-Visitar_Marruecos-Marrakech_Marrakech_Safi.html,8731860e-f7d8-4d76-a579-c082d00c0c3d
3395,5,3396. Agafay Desert quad camel and dinner show,Reviews not found,Details not found,/Attraction_Review-g15276171-d25404353-Reviews-Agafay_Desert_quad_camel_and_dinner_show-Agafay_Marrakech_Safi.html,/Attraction_Review-g15276171-d25404353-Reviews-Agafay_Desert_quad_camel_and_dinner_show-Agafay_Marrakech_Safi.html,e30159cd-e8f0-4b56-bc1f-0bdda2fef1ee
3396,5,3397. Zaim Mohamed,Reviews not found,Details not found,/Attraction_Review-g293734-d15181613-Reviews-Zaim_Mohamed-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d15181613-Reviews-Zaim_Mohamed-Marrakech_Marrakech_Safi.html,147aba5e-156c-4b1a-9b9b-3d2d76a90e30
3397,5,3398. Morocco Lubica Tours,Reviews not found,Details not found,/Attraction_Review-g293734-d21366854-Reviews-Morocco_Lubica_Tours-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d21366854-Reviews-Morocco_Lubica_Tours-Marrakech_Marrakech_Safi.html,a28d7dc4-821d-4469-b0be-bc4b056318f6
3398,4.9,3399. Albatross Tours Marrakech,Reviews not found,Details not found,/Attraction_Review-g293734-d8453728-Reviews-Albatross_Tours_Marrakech-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d8453728-Reviews-Albatross_Tours_Marrakech-Marrakech_Marrakech_Safi.html,49f7116c-1ae9-40d4-8856-bceb2dd955ec
3399,5,3400. Sunny Excursion,Reviews not found,Details not found,/Attraction_Review-g5776820-d24824918-Reviews-Sunny_Excursion-Palmeraie_Marrakech_Safi.html,/Attraction_Review-g5776820-d24824918-Reviews-Sunny_Excursion-Palmeraie_Marrakech_Safi.html,5f649017-c714-4a0d-ad94-e0c38611e0f3
3400,4.6,3401. Assouss Argane,Reviews not found,Details not found,/Attraction_Review-g293734-d12511073-Reviews-Assouss_Argane-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d12511073-Reviews-Assouss_Argane-Marrakech_Marrakech_Safi.html,d00f9dcd-f947-4e1f-b44b-e093ccc4db13
